ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,ssl.handshake,ssl.record,ssl.record.content_type,ssl.handshake.cert_url.url_len,ssl.handshake.certificate_length,ssl.handshake.cert_type,ssl.handshake.cert_type.type,ssl.handshake.cert_type.types,ssl.handshake.cert_type.types_len,ssl.handshake.cert_types,ssl.handshake.cert_types_count,dtls.handshake.extension.len,dtls.handshake.extension.type,dtls.handshake.session_id,dtls.handshake.session_id_length,dtls.handshake.session_ticket_length,dtls.handshake.sig_hash_alg_len,dtls.handshake.sig_len,dtls.handshake.version,dtls.heartbeat_message.padding,dtls.heartbeat_message.payload_length,dtls.heartbeat_message.payload_length.invalid,dtls.record.content_type,dtls.record.content_type,dtls.record.length,dtls.record.sequence_number,dtls.record.version,dtls.change_cipher_spec,dtls.fragment.count,dtls.handshake.cert_type.types_len,dtls.handshake.certificate_length,dtls.handshake.certificates_length,dtls.handshake.cipher_suites_length,dtls.handshake.comp_methods_length,dtls.handshake.exponent_len,dtls.handshake.extension.len,dtls.handshake.extensions_alpn_str,dtls.handshake.extensions_alpn_str_len,dtls.handshake.extensions_key_share_client_length,http.request,udp.port
"221.179.190.189","10.0.1.7","40","0","0",,,,"42","6","0","0","1","0","0","0","0x00000004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"221.179.190.189","10.0.1.7","40","0","0",,,,"41","6","0","0","1","0","1","0","0x00000004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"157.240.24.9","10.0.1.7","91","0","0",,,,"84","6","114","1","1","39","2","0","0x00000018",,,,,"1","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"157.240.24.9","10.0.1.7","52","0","0",,,,"84","6","114","1","40","0","2","0","0x00000011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","157.240.24.9","52","1","0",,,,"64","6","2043","40","1","0","2","0","0x00000010","0.000054000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","157.240.24.9","52","1","0",,,,"64","6","2043","41","1","0","2","0","0x00000010","0.000050000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"157.240.24.9","10.0.1.7","52","0","0",,,,"84","6","114","1","40","0","2","0","0x00000011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","157.240.24.9","52","1","0",,,,"64","6","2043","41","1","0","2","0","0x00000010","0.000037000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52.198.217.207","10.0.1.7","52","0","0",,,,"232","6","110","1","1","0","3","0","0x00000011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","52.198.217.207","52","1","0",,,,"64","6","2047","2","1","0","3","0","0x00000010","0.000031000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","123.125.29.199","40","0","0",,,,"64","6","2047","1","1","0","4","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","123.125.29.216","40","0","0",,,,"64","6","2047","1","1","0","5","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123.125.29.199","10.0.1.7","40","0","0",,,,"47","6","0","0","1","0","4","0","0x00000004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123.125.29.216","10.0.1.7","40","0","0",,,,"47","6","0","0","1","0","5","0","0x00000004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","157.240.24.9","40","1","0",,,,"64","6","2043","41","1","0","2","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","13.113.219.182","40","1","0",,,,"64","6","2041","1","1","0","6","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","221.228.208.94","40","1","0",,,,"64","6","4095","1","1","0","7","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","157.185.185.85","40","1","0",,,,"64","6","4095","1","1","0","8","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","159.65.251.183","40","1","0",,,,"64","6","2047","1","1","0","9","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","4089","1","1","0","10","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","4089","1","1","0","11","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","36.51.254.37","40","1","0",,,,"64","6","4089","1","1","0","12","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","180.149.153.234","40","1","0",,,,"64","6","2047","1","1","0","13","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","180.149.153.68","40","1","0",,,,"64","6","2047","1","1","0","14","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","202.232.238.37","40","1","0",,,,"64","6","2047","1","1","0","15","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","130.211.28.155","40","1","0",,,,"64","6","2041","1","1","0","16","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","52.198.217.207","40","1","0",,,,"64","6","2047","2","1","0","3","0","0x00000014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","203.90.242.126","64","1","0",,,,"64","6","65535","0","0","0","17","0","0x00000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","64","1","0",,,,"64","6","65535","0","0","0","18","0","0x00000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203.90.242.126","10.0.1.7","60","0","0",,,,"52","6","28960","1","0","0","17","0","0x00000012","0.045309000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","203.90.242.126","52","1","0",,,,"64","6","131712","1","1","0","17","0","0x00000010","0.000026000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","203.90.242.126","569","1","0",,,,"64","6","131712","1","1","517","17","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203.90.242.126","10.0.1.7","52","0","0",,,,"52","6","30080","518","1","0","17","0","0x00000010","0.039740000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203.90.242.126","10.0.1.7","1500","0","0",,,,"52","6","30080","518","1","1448","17","0","0x00000010",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203.90.242.126","10.0.1.7","1500","0","0",,,,"53","6","30080","518","1449","1448","17","0","0x00000010",,"1","2569","1","1","22",,"1384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","203.90.242.126","52","1","0",,,,"64","6","128832","2897","518","0","17","0","0x00000010","0.000052000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203.90.242.126","10.0.1.7","124","0","0",,,,"53","6","30080","518","2897","72","17","0","0x00000018",,"1","305","1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","203.90.242.126","52","1","0",,,,"64","6","130944","2969","518","0","17","0","0x00000010","0.000036000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","203.90.242.126","145","1","0",,,,"64","6","131072","2969","518","93","17","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"203.90.242.126","10.0.1.7","282","0","0",,,,"52","6","30080","611","2969","230","17","0","0x00000018","0.040694000",,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","203.90.242.126","52","1","0",,,,"64","6","130816","3199","611","0","17","0","0x00000010","0.000036000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","64","1","0",,,,"64","6","65535","0","0","0","19","0","0x00000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"140.143.202.143","10.0.1.7","60","0","0",,,,"38","6","65535","1","0","0","18","0","0x00000012","0.376728000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","52","1","0",,,,"64","6","131264","1","1","0","18","0","0x00000010","0.000095000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","140.143.202.143","569","1","0",,,,"64","6","131264","1","1","517","18","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","47.246.1.194","64","1","0",,,,"64","6","65535","0","0","0","20","0","0x00000002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47.246.1.194","10.0.1.7","52","0","0",,,,"53","6","29200","1","0","0","20","0","0x00000012","0.005721000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","47.246.1.194","40","1","0",,,,"64","6","262144","1","1","0","20","0","0x00000010","0.000047000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","47.246.1.194","557","1","0",,,,"64","6","262144","1","1","517","20","0","0x00000018",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47.246.1.194","10.0.1.7","40","0","0",,,,"53","6","30720","518","1","0","20","0","0x00000010","0.005195000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47.246.1.194","10.0.1.7","1500","0","0",,,,"53","6","30720","518","1","1460","20","0","0x00000010",,,,"1","1","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47.246.1.194","10.0.1.7","1500","1","0",,,,"54","6","30720","518","1461","1460","20","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","47.246.1.194","40","1","0",,,,"64","6","259200","2921","518","0","20","0","0x00000010","0.000032000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","47.246.1.194","40","1","0",,,,"64","6","262144","2921","518","0","20","0","0x00000010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47.246.1.194","10.0.1.7","1216","1","0",,,,"54","6","30720","518","2921","1176","20","0","0x00000018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","47.246.1.194","40","1","0",,,,"64","6","260928","4097","518","0","20","0","0x00000010","0.000020000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47.246.1.194","10.0.1.7","646","0","0",,,,"53","6","30720","518","4097","606","20","0","0x00000018",,"1","4309","1","1","22",,"3124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10.0.1.7","47.246.1.194","40","1","0",,,,"64","6","261504","4703","518","0","20","0","0x00000010","0.000034000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
